payment_type,profit_per_order,category_id,category_name,customer_city,customer_id,customer_segment,department_id,department_name,market,order_country,order_date,order_id,order_item_discount_rate,order_item_quantity,sales,order_item_total_amount,order_profit_per_order,order_region,order_state,order_status,product_price,shipping_date,shipping_mode,label
TRANSFER,-26.713684,17,Cleats,Lawrenceville,7064.0947,Home Office,4,Apparel,Pacific Asia,Turkey,2016-09-16 00:00:00+01:00,44147.805,0.03,3,179.97,174.67526,-24.263666,West Asia,England,PROCESSING,59.99,2016-09-14 00:00:00+01:00,Standard Class,1
TRANSFER,116.52838,17,Cleats,Virginia Beach,1967.6588,Consumer,4,Apparel,USCA,United States,2016-06-04 00:00:00+01:00,36184.99,0.07,5,299.95,271.97592,114.91186,US Center ,Texas,PENDING,59.99,2016-08-25 00:00:00+01:00,Second Class,1
DEBIT,96.605804,45,Fishing,Santa Ana,6862.6313,Home Office,7,Fan Shop,USCA,United States,2016-02-20 00:00:00+00:00,29835.377,0.05,1,399.98,379.98,108.48276,East of USA,Liguria,COMPLETE,399.98,2016-03-12 00:00:00+00:00,Same Day,1
PAYMENT,122.53524,9,Cardio Equipment,York,3365.9497,Home Office,3,Footwear,LATAM,Brazil,2017-08-29 00:00:00+01:00,59943.64,0.03,5,499.95,473.05728,119.005295,South America,Chinandega,PENDING_PAYMENT,99.99,2017-05-21 00:00:00+01:00,Standard Class,1
TRANSFER,-145.84673,17,Cleats,Tucson,5611.479,Consumer,4,Apparel,LATAM,Cuba,2017-04-20 00:00:00+01:00,55193.316,0.03,5,299.95,287.98,-114.76181,Caribbean,Khuzestan,PROCESSING,59.99,2017-04-09 00:00:00+01:00,First Class,1
TRANSFER,-64.99711,43,Camping & Hiking,Union City,9324.694,Consumer,7,Fan Shop,Europe,United Kingdom,2016-02-06 00:00:00+00:00,13396.063,0.2,1,299.98,239.98,-79.659996,Northern Europe,England,PROCESSING,299.98,2015-07-15 00:00:00+01:00,Standard Class,1
DEBIT,41.71055,48,Water Sports,Caguas,23.423738,Home Office,7,Fan Shop,Pacific Asia,Filipinas,2015-02-02 00:00:00+00:00,23803.604,0.02,1,199.99,196,42.54058,Southeast Asia,Al Marqab,COMPLETE,199.99,2015-06-10 00:00:00+01:00,Standard Class,1
TRANSFER,63.802906,43,Camping & Hiking,Caguas,7828.909,Home Office,7,Fan Shop,LATAM,Cuba,2017-06-25 00:00:00+01:00,55286.023,0.02,1,299.98,296.98,67.73196,Caribbean,Camaguey,PENDING,299.98,2017-08-26 00:00:00+01:00,Standard Class,1
TRANSFER,-341.61166,24,Women's Apparel,Caguas,9276.523,Consumer,5,Golf,LATAM,Peru,2017-01-19 00:00:00+00:00,52405.258,0.02,3,150,148.44,-331.99606,South America,Zamfara,PROCESSING,50,2017-02-13 00:00:00+00:00,Second Class,1
TRANSFER,5.2975554,48,Water Sports,Caguas,6238.5986,Corporate,7,Fan Shop,Europe,Italy,2015-07-28 00:00:00+01:00,10245.464,0.04,1,199.99,191.99326,4.1736255,Western Europe,Francisco Morazan,PROCESSING,199.99,2015-08-23 00:00:00+01:00,Second Class,1
DEBIT,30.787241,18,Men's Footwear,Caguas,1095.2764,Consumer,4,Apparel,Pacific Asia,Thailand,2015-08-07 00:00:00+01:00,21818.848,0.17,1,129.99,104.21248,28.581306,Southeast Asia,Bangkok,COMPLETE,129.99,2015-10-29 00:00:00+00:00,Standard Class,1
TRANSFER,-29.389004,48,Water Sports,Federal Way,1830.4528,Corporate,7,Fan Shop,Pacific Asia,Filipinas,2016-02-12 00:00:00+00:00,28770.104,0.01,1,199.99,197.98474,-34.772823,Southeast Asia,Capital Nacional,PENDING,199.99,2016-05-11 00:00:00+01:00,Standard Class,0
DEBIT,126.45596,43,Camping & Hiking,Caguas,7214.6777,Consumer,7,Fan Shop,Pacific Asia,India,2015-11-21 00:00:00+00:00,22664.963,0.03,1,299.98,287.96716,128.96223,South Asia,Parana,COMPLETE,299.98,2015-11-29 00:00:00+00:00,Standard Class,0
PAYMENT,11.1050005,46,Indoor/Outdoor Games,Porterville,11902.945,Consumer,7,Fan Shop,LATAM,Mexico,2017-03-26 00:00:00+00:00,57743.266,0.13,1,49.98,42.82639,10.275372,Central America,Guanajuato,PENDING_PAYMENT,49.98,2017-04-02 00:00:00+01:00,Standard Class,1
TRANSFER,90.746445,48,Water Sports,Los Angeles,725.07745,Corporate,7,Fan Shop,LATAM,Mexico,2017-03-17 00:00:00+00:00,56450.07,0.02,1,199.99,193.99,87.53163,Central America,Jalisco,PENDING,199.99,2017-03-18 00:00:00+00:00,Standard Class,1
TRANSFER,92.92348,46,Indoor/Outdoor Games,Dearborn,12188.557,Corporate,7,Fan Shop,Europe,Germany,2017-06-26 00:00:00+01:00,63525.92,0,5,249.9,248.98,95.97334,Western Europe,North Rhine-Westphalia,PENDING,49.98,2017-09-23 00:00:00+01:00,Standard Class,1
DEBIT,58.829147,48,Water Sports,Doylestown,4772.1387,Consumer,7,Fan Shop,USCA,United States,2016-06-15 00:00:00+01:00,34981.426,0.18,1,199.99,161.95128,57.409523,East of USA,Massachusetts,COMPLETE,199.99,2016-03-02 00:00:00+00:00,Standard Class,1
PAYMENT,14.247739,18,Men's Footwear,Jacksonville,7913.4966,Corporate,4,Apparel,USCA,United States,2016-05-20 00:00:00+01:00,35306.86,0.18516564,1,129.99,99.32432,15.3032255,US Center ,Illinois,PENDING_PAYMENT,129.99,2016-05-01 00:00:00+01:00,Standard Class,1
TRANSFER,70.66988,43,Camping & Hiking,Salt Lake City,2238.9004,Consumer,7,Fan Shop,USCA,United States,2016-08-05 00:00:00+01:00,36306.277,0.25,1,299.98,227.52426,71.55357,US Center ,Michigan,PROCESSING,299.98,2016-06-10 00:00:00+01:00,Standard Class,1
TRANSFER,14.753159,18,Men's Footwear,Flushing,171.95618,Consumer,4,Apparel,LATAM,Mexico,2015-03-21 00:00:00+00:00,4031.9531,0,1,129.99,130.69368,14.576373,Central America,Federal District,PENDING,129.99,2015-03-04 00:00:00+00:00,First Class,1
TRANSFER,19.947884,46,Indoor/Outdoor Games,Brandon,2602.1907,Corporate,7,Fan Shop,Pacific Asia,Pakistan,2016-01-15 00:00:00+00:00,26224,0.15,1,49.98,43.5,15.871987,South Asia,Punjab,PENDING,49.98,2016-01-21 00:00:00+00:00,Standard Class,0
TRANSFER,80.89535,48,Water Sports,Revere,2379.4358,Consumer,7,Fan Shop,Europe,United Kingdom,2017-09-23 00:00:00+01:00,67624.06,0.18,1,199.99,159.99,84.069374,Northern Europe,England,PENDING,199.99,2017-01-23 00:00:00+00:00,First Class,1
TRANSFER,16.708416,43,Camping & Hiking,Caguas,7176.492,Consumer,7,Fan Shop,Europe,Russia,2016-10-20 00:00:00+01:00,45496.65,0.17,1,299.98,245.98,17.214382,Eastern Europe,Chelyabinsk,PROCESSING,299.98,2016-08-01 00:00:00+01:00,Second Class,1
TRANSFER,78.0191,17,Cleats,Revere,3142.7656,Consumer,4,Apparel,Europe,Romania,2016-01-02 00:00:00+00:00,64598.395,0.03,4,239.96,235.16,76.868645,Western Europe,Bissau,PROCESSING,59.99,2016-10-10 00:00:00+01:00,Standard Class,1
PAYMENT,41.964146,48,Water Sports,Caguas,1385.1934,Consumer,7,Fan Shop,LATAM,Honduras,2017-12-14 00:00:00+00:00,57564.71,0.16,1,199.99,167.99,45.72,Central America,Atlantida,PENDING_PAYMENT,199.99,2017-04-25 00:00:00+01:00,Standard Class,0
DEBIT,155.80168,45,Fishing,Caguas,5152.1704,Consumer,7,Fan Shop,Europe,France,2015-09-09 00:00:00+01:00,17364.195,0.16,1,399.98,335.98,159.17474,Western Europe,Isle of France,COMPLETE,399.98,2015-10-23 00:00:00+01:00,Second Class,1
PAYMENT,65.529686,17,Cleats,Caguas,3998.587,Consumer,4,Apparel,LATAM,Dominican Republic,2015-07-08 00:00:00+01:00,1033.3651,0.07,5,299.95,263.96127,64.35682,Caribbean,Saxony-Anhalt,PENDING_PAYMENT,59.99,2015-08-07 00:00:00+01:00,Standard Class,1
DEBIT,13.237326,46,Indoor/Outdoor Games,Quincy,7549.195,Consumer,7,Fan Shop,USCA,United States,2016-09-02 00:00:00+01:00,33514.316,0.18,1,49.98,40,12.990201,West of USA ,California,PROCESSING,49.98,2016-05-05 00:00:00+01:00,Standard Class,0
DEBIT,35.444065,46,Indoor/Outdoor Games,Caguas,200.22781,Consumer,7,Fan Shop,Europe,China,2017-06-26 00:00:00+01:00,65719.42,0.25,2,99.96,78.04524,39.36066,Southern Europe,Tuscany,COMPLETE,49.98,2017-09-20 00:00:00+01:00,First Class,1
